"","GBM21_k1","GBM21_k2","GBM21_k3","GBM21_k4","GBM21_k5","GBM21_k6","GBM21_k7","GBM41_k1","GBM41_k2","GBM41_k3","GBM41_k4","GBM41_k5","GBM41_k6","GBM41_k7","GBM47_k1","GBM47_k2","GBM47_k3","GBM47_k4","GBM47_k5","GBM47_k6","GBM47_k7","GBM49_k1","GBM49_k2","GBM49_k3","GBM49_k4","GBM49_k5","GBM49_k6","GBM49_k7","GBM51_k1","GBM51_k2","GBM51_k3","GBM51_k4","GBM51_k5","GBM51_k6","GBM51_k7","GBM53_k1","GBM53_k2","GBM53_k3","GBM53_k4","GBM53_k5","GBM53_k6","GBM53_k7","SM006_k1","SM006_k2","SM006_k3","SM006_k4","SM006_k5","SM006_k6","SM006_k7","SM011_k1","SM011_k2","SM011_k3","SM011_k4","SM011_k5","SM011_k6","SM011_k7","SM012_k1","SM012_k2","SM012_k3","SM012_k4","SM012_k5","SM012_k6","SM012_k7","SM017_k1","SM017_k2","SM017_k3","SM017_k4","SM017_k5","SM017_k6","SM017_k7","SM018_k1","SM018_k2","SM018_k3","SM018_k4","SM018_k5","SM018_k6","SM018_k7"
"prop_AC",-0.623609647697107,0.884147203207554,-1.0274538066857,-0.21086494119085,0.518205607353489,-1.03619587617443,0.209894225635917,-1.6512415599047,-1.13910676363894,-1.42152207971302,-1.04675033565114,-1.15976405947743,-1.27932092353419,-1.38433355703847,0.860817777115318,0.0305607570779733,0.914715703606295,0.402468276138175,0.149920244042839,0.534206082704995,0.00849337838852221,1.34758530033358,1.11790855840649,1.14569367528943,1.31442679282364,1.22989409894252,0.823522157100992,1.10746404089488,-1.15040905232412,-0.831760701334746,-1.1126881600992,-0.982613927996482,-1.15200875446366,-0.923605061752523,-1.53668751540982,0.654969109454522,0.968218976614593,-0.359683068898027,0.432928220081684,-0.0243746145020635,-0.051335122420352,1.20415191177453,1.60934229698648,1.64684720268399,0.567857876103004,1.85106841979118,1.27711894182005,-0.0576388383005272,1.63485760128255,-1.39821049558508,-1.2984506367486,-1.10202429226496,-1.12508117723833,-0.77187716362654,-1.30479135209831,-1.23923624679654,-0.0548838491167638,-0.618700558312851,-0.433097972597354,-0.543309423903261,-0.105385370443644,-0.67049303719967,-0.351831450240768,1.4767395532419,1.84378802785335,0.143695899090638,0.669886292483394,1.02367019664153,1.54865213053665,0.924720776305448,-0.614450264473668,-0.602849724047505,0.0226862212026331,0.113634755834619,0.364656218031969,0.547169430790706,-0.728942554766665
"prop_MES",1.48457132889188,-0.482048643526204,2.1615326801596,1.025349039114,-0.0149300254848646,1.96887355539963,0.493234322387255,-0.562715971215259,-0.5955686118503,-0.431734758597923,-0.382097369770274,-0.224267628651722,-0.554902539656758,-0.148219034762798,0.00686678830834582,1.04288652401358,-0.0472740677457268,0.582907492156927,0.9400795759114,0.427631138133273,1.12872184401757,-1.26521421405283,-1.34055641203652,-1.44250876211419,-1.23944566338254,-1.47908717722405,-0.672317603705973,-1.3354438356436,-0.0611961168535453,1.99338638024124,2.49693637130799,2.12216349126977,1.19232824994676,0.877297507957676,-0.751268226517136,0.231246201450638,-0.10717742915463,1.55857661732089,0.5714977702692,1.17057318203521,1.17515041449668,-0.430703599489287,-1.38066176117522,-1.51695991238912,-0.684350272974484,-1.55060921179353,-1.39156447460775,0.79078225800444,-1.11304970419511,-0.946361478785055,-0.738929735973208,-0.17002906435647,0.0994655404219856,-0.556416625676468,0.521442397668061,-0.688018790167866,-0.758425672374359,-0.617977747275977,-0.353875836291822,-0.477154957537891,-0.868468503027827,0.00133083337974822,-0.433775658080002,-0.882921823071793,-1.32205822818723,0.696115425328935,0.0960303434068572,-0.301293131355424,-0.832386786848648,-0.0470856998506137,1.63035618278962,0.536006442517605,0.331646835471593,0.557098250341386,0.464077351607708,-0.0886902194212207,0.913580651125737
"prop_NPC",-0.385360692417186,-0.313975018813086,-0.512056899471117,-0.418134412454757,-0.298855907556116,-0.368449205994787,-0.582003012642609,0.534731151600532,0.976721861956074,0.991251613685031,0.762380426146461,0.703846621821127,1.07969915266487,0.734850963641753,-0.761338302692875,-0.738686426683611,-0.776848216906376,-0.766113446213225,-0.791329569034698,-0.766567233144041,-0.800494479559745,-0.743769449969163,-0.681425560258853,-0.690015492289792,-0.728242010341115,-0.620373063197842,-0.755101515518789,-0.652177929092333,0.996954528049218,-0.672751573270493,-0.750289638815918,-0.679934671838066,0.0699391934935111,0.152656215045211,1.97484211477605,-0.73862391853952,-0.785651309252875,-0.758797634728231,-0.782526431293533,-0.800494479559745,-0.768644411496023,-0.760912692074757,-0.314290940540843,-0.265675288346128,0.29833286863868,-0.462621077110565,0.109886632594989,-0.348578675684374,-0.643682421963714,3.23182771476464,2.92400537567003,1.79373138093396,1.61098731649694,1.90030281983263,1.28422439856974,2.73392630880569,0.965893446242188,1.27796263032485,0.950773003363866,0.970771295933543,1.13162014524468,0.478960056441503,1.03917773817727,-0.66959771343387,-0.70761819181601,-0.534350581342816,-0.626377873409933,-0.674441710184474,-0.800494479559745,-0.800494479559745,-0.769281412857297,-0.535802173823126,-0.425222876076114,-0.580831476626968,-0.725152594415905,-0.800494479559745,-0.345303923482378
"prop_OPC",-0.616603342762877,-0.653751555881798,-0.699409117573638,-0.683231206334055,-0.682259954678498,-0.569495991279138,-0.40448198118933,4.04006152072681,2.11469800797089,2.45457333048845,1.87061107833752,1.94662790270674,2.19244320210152,2.28415260174911,-0.730822537456325,-0.730822537456325,-0.730822537456325,-0.70835613409412,-0.730822537456325,-0.730822537456325,-0.730822537456325,0.455326704931349,1.03277992375042,1.17193529198533,0.458960740600429,0.918815627211322,0.6138632726466,0.997086148751777,1.10945684780944,-0.570552385875247,-0.707493453572859,-0.439941736029886,0.39026655595512,0.291273164498471,1.61023970545146,-0.700019086891749,-0.730822537456325,-0.730822537456325,-0.730822537456325,-0.730822537456325,-0.730822537456325,-0.730822537456325,-0.699443637815268,-0.6189891222865,-0.592072300948249,-0.698113718815589,-0.629131658989936,-0.730822537456325,-0.68528059379865,-0.5451002696621,-0.632611707969267,-0.190868121029513,-0.320383952828944,-0.439986625042452,-0.111290416338015,-0.537011686732148,-0.13796124531883,0.395468825530115,0.0320919309159448,0.488994104900891,-0.101515679641182,0.755513329425386,-0.165940268942733,-0.693834456273213,-0.680247265275379,-0.708738393084042,-0.678810153716139,-0.694213821208425,-0.730822537456325,-0.713734088220321,-0.241311703055832,1.36571187321637,0.0684211913146244,-0.297014157253326,-0.468249676092076,0.26066352759097,0.628929780322823
"prop_G1",0.956010648956686,0.953122560502889,-1.84719532834743,-0.308878498347055,1.1095470414306,-0.242920139040972,0.0614825537355393,-1.94161826896171,0.627733606424729,-1.63072294184422,0.939932595441066,-0.810126882645063,0.987997680720594,-0.469990975298806,0.947582552782544,-0.599968224783669,0.378873611687039,1.05088389599671,0.656295734034906,-0.960061638660651,-1.94698803543243,0.747937855962562,-0.664468559997921,1.14098013104682,1.13700615626839,0.811365634258366,-0.114428654021813,1.15792681025061,-0.3708072084839,0.773636413394218,-0.336076237653233,0.560194158261452,-1.30792881196195,0.994311741471464,0.338759024199948,1.0227890834954,1.03225723054577,0.639164400908664,0.422469734067469,0.282548882673918,-0.635622351263287,0.739093192734619,0.50061716717987,1.12481314912792,0.298344165102544,0.904395027646022,1.15851259586162,-0.908926874761128,-1.27128900113335,0.726601982362974,0.625854615510004,-1.11975403037341,-1.83752667812023,-0.301539425835864,-1.91336694118194,0.887448435804629,-0.195429712779441,-2.06281040345625,-0.107068010152878,0.315245490911667,-1.28450507777377,-1.71207940949008,0.75279891775068,0.7082485043956,0.0742175770850021,-0.239110482461959,0.880983671612774,-1.3212470968619,-1.11929629431286,-1.98427214440825,0.646511476770466,0.655490178445579,0.790427727475192,0.804215805500023,0.077751433686455,0.643366159979956,-1.47972267361454
"prop_S",-0.869948368775453,-0.825545209819015,1.60317140540273,0.446984345639883,-0.96506484193077,0.0953140189179205,0.197119879735188,1.43773233680883,-0.837416702242382,1.30162973581542,-0.927871732715763,0.464409702570774,-0.997074384697779,0.160573725739588,-0.793909075061171,0.700923479596606,-0.222215939603976,-0.982968472032404,-0.483472257062857,1.32406613452529,2.83232379256698,-0.703483990940596,0.86609504217661,-1.05032200225561,-1.03505488840267,-0.883266658784159,0.271708718180259,-1.05638719213242,-0.272949761702448,-1.05779837988366,-0.916625039547182,-0.965287645559182,0.281845013127134,-1.06177088768515,-0.796630057763555,-0.929815000564459,-0.914569305685415,-0.821411607235098,-0.300965206903778,-0.416702191040325,0.373494796844384,-0.537136568665055,-0.140932044724106,-0.988844097275826,0.0285438535185743,-0.680865568176945,-1.04133604641938,0.865187461447361,2.20194290084722,-0.644604318176182,-0.578773045243462,0.661441973523317,1.44943008003105,0.31837763524776,1.47583802877686,-0.805330770938614,0.334618073078847,2.41875497735948,0.352738206726572,-0.0474647545084721,1.40356318326724,2.42590561906101,-0.577289870064738,-0.60319272989372,0.0353335361807189,0.383725360481809,-0.740226598380659,1.2087317841163,1.11553907359271,2.03459608829022,-0.567171427737998,-0.711042597274208,-0.546527035404606,-0.710131257780931,-0.173875635563468,-0.506848756435027,0.618459959496046
"prop_G2M",-0.876945050577269,-0.933461696560986,1.80452149913007,0.0483527927751474,-1.08094772470221,0.400911893638773,-0.414816543886073,2.24713822883521,-0.198809319613576,1.75403536762411,-0.759438680580543,1.1294746858668,-0.767463327202035,0.809424545181423,-0.966046064928818,0.330871145530012,-0.521107362037133,-0.926174424674858,-0.763110384862296,0.242716476308117,0.283829325330852,-0.653679710128635,0.239233068340671,-1.02954266973859,-1.04239846655313,-0.538981812396137,-0.132379691078123,-1.05833853993828,1.20461360512269,-0.208558900434117,2.03962889498736,0.131292274342437,2.48623859288998,-0.689763306437701,0.380929967825114,-0.939475689941502,-0.981955743857422,-0.246694695292687,-0.505752214951434,-0.0331556812989009,0.87326364759003,-0.869764832233327,-0.904807268236405,-1.08094772470221,-0.698602021427642,-1.03087343061165,-1.08094772470221,0.779816646170206,-0.314020378367842,-0.690001833522008,-0.560980216030973,1.53348533984661,2.0009348559474,0.214307349106946,2.13084416505015,-0.817208003790844,-0.042781995214603,1.12508052963197,-0.263379755880878,-0.628237213467943,0.845878004931245,0.341207339446356,-0.843131974874491,-0.708163415489812,-0.213773764553679,-0.0159685674374316,-0.895152939524668,1.20287342106466,0.889339358633459,1.49590062119505,-0.622982537891116,-0.439026157285779,-0.969713987447608,-0.76841969080724,0.0747324489119935,-0.701478464797185,2.38848550871517
"mean_cytoTRACE",-1.41136875254587,0.144300268749143,-0.609120805376157,-0.707737371468014,-0.165961836260927,-1.97165625771981,-0.0579807873518814,0.53310728957036,-0.819104646055249,-0.758512461825411,-0.500513082958258,-0.449868475070872,-0.525272458819966,-0.123403593213713,-0.873461704237908,-1.52383985934235,-0.458437299161074,-1.41574347852027,-1.22771926874964,-0.659224020679164,0.257665142185633,-0.942558984843389,-1.17689656508094,-1.12400243651407,-0.785490388961502,-1.45906964976992,-0.489552626708822,-0.994110995137419,-0.201758873313438,-0.836327364375248,-0.869844543999401,-0.666290139236993,-0.431239263607839,-0.48499393044405,0.327380535478556,-0.468811088656602,-0.312331465422521,-1.33252921259647,-0.346575315581064,-0.542710226710103,-0.648139036601804,0.180536914611201,0.883433093825397,0.978167973296152,-0.643869382212926,1.19170783159759,0.130938693562377,-1.10250749643777,1.29985724472647,1.71239844413634,1.78331164389216,1.84209551309123,1.55880384584249,1.37430338886248,1.92025412087714,1.48678591703261,0.624795352319239,0.901985717336788,1.35515795382199,1.43116275979008,0.277128441102076,1.48995890572402,0.750607568845229,1.0012643643985,1.31329862885142,-0.719256554627741,0.164007831084926,0.786681407814599,1.27973088257078,1.43764982265471,-0.309685188100248,-1.42864207993069,0.874953987433013,0.496091603392939,0.691015407393694,0.848916290864797,-0.753335818508655
